produkt_id,kod_kreskowy,symbol_dostepu,opis
100000592,05909990781416,Rpz,28 kaps.
100000592,05909990781423,Rpz,56 kaps.
100000592,05909990781430,Rpz,112 kaps.
100000592,05909990000968,Rpz,250 kaps.
100000600,05909990798216,Rp,20 kaps.
100000600,05909990798223,Rp,50 kaps.
100000617,05909990789214,OTC,20 tabl.
100000617,05909990789221,OTC,50 tabl.
100000623,05909991029944,Rp,6 amp. 2 ml ¦ 6 amp. 1 ml
100000652,05909990804016,Rp,30 tabl.
100000652,05909990804023,Rp,90 tabl.
100000652,05909990804030,Rp,120 tabl.
100000706,05909990042876,OTC,1 butelka 200 ml
100000706,05909990806416,OTC,1 butelka 120 ml
100000729,05909990790913,Rp,1 tuba 3 g
100000735,05909990788613,Rp,"10 wkładów 1,7 ml"
100000735,05909990788620,Rp,"50 wkładów 1,7 ml"
100000764,05909990625680,Rp,14 tabl.
100000764,05909990625697,Rp,28 tabl.
100000801,05909990795413,OTC,10 tabl.
100000801,05909990795420,Rp,30 tabl.
100000801,05909990670253,Rp,60 tabl.
100000801,05909990670260,Rp,90 tabl.
100000818,05909990784714,Rp,30 tabl.
100000818,05909990784721,Rp,14 tabl.
100000818,05909990634545,Rp,84 tabl.
100000824,05909990786411,Rp,10 tabl.
100000824,05909990786428,Rp,30 tabl.
100000824,05909990786435,Rp,50 tabl.
100000882,05909990172214,Rp,5 tabl.
100000882,05909990172221,Rp,20 tabl. (2 x 10)
100000882,05909990419395,Rp,20 tabl. ( 1 x 20)
100000882,05909991448615,Rp,14 tabl.
100000936,05909990793914,Rp,30 tabl.
100000936,05909990793921,Rp,60 tabl.
100000988,05909990797813,OTC,1 tuba 55 g
100000988,05909991027605,OTC,1 tuba 100 g
100000994,05909990797110,Rp,20 tabl. w blistrze (1 x 20)
100000994,05909990797127,Rp,30 tabl. (2 x 15)
100000994,05909990797134,Rp,60 tabl. w blistrach (3 x 20)
100000994,05909990694846,Rp,60 tabl. w blistrach (6 x 10)
100000994,05909990694853,Rp,20 tabl. w blistrach (2 x 10)
100001019,05909990795918,OTC,1 tuba 40 g
100001025,05909990787210,Rp,30 tabl.
100001025,05909990787227,Rp,56 tabl.
100001025,05909990422296,Rp,42 tabl.
100001025,05909990422302,Rp,21 tabl.
100001025,05909990691128,Rp,10 tabl.
100001025,05909990691135,Rp,14 tabl.
100001025,05909990691142,Rp,28 tabl.
100001025,05909990691159,Rp,50 tabl.
100001025,05909990691166,Rp,60 tabl.
100001120,05909990801510,Rp,28 tabl.
100001120,05909990801527,Rp,56 tabl.
100001210,05909990003815,Rp,"15 amp. 0,5 ml"
100001210,05909990003822,Rp,"1 amp. 0,5 ml"
100001350,05909990795611,Rp,14 tabl.
100001350,05909990795628,Rp,28 tabl.
100001350,05909990650217,Rp,30 tabl.
100001433,05909990781218,Rpz,28 kaps.
100001433,05909990781225,Rpz,56 kaps.
100001433,05909990781232,Rpz,112 kaps.
100001433,05909990000944,Rpz,250 kaps.
100001485,05909990783618,Rp,1 fiol.  proszku ¦ 1 amp.-strzyk. 10 ml + zestaw do sporządzania i podania
100001491,05909990796410,Rp,10 tabl.
100001491,05909990796427,Rp,20 tabl.
100001491,05909990796434,Rp,30 tabl.
100001491,05909990796441,Rp,60 tabl.
100001539,05909990804412,Rp,30 tabl.
100001539,05909990804429,Rp,60 tabl.
100001539,05909991273286,Rp,120 tabl.
100001580,05909990211302,OTC,6 tabl.
100001580,05909990211326,OTC,8 tabl.
100001580,05909990945054,OTC,12 tabl.
100001580,05907509848018,OTC,18 tabl.
100001580,05907509848025,OTC,20 tabl.
100001580,05909991534974,OTC,50 tabl.
100001628,05909991029500,Rp,10 fiol. 100 mg
100001700,05909990790814,Rp,1 op. 3 g
100001730,05909990785810,Rp,30 tabl.
100001864,05909990804511,Rp,30 tabl.
100001864,05909990804528,Rp,60 tabl.
100001864,05909991273279,Rp,120 tabl.
100001893,05909990646753,Rpz,1 fiol.  proszku + 1 fiol. rozp.
100001893,05909991029968,Rpz,1 fiol.  proszku + 1 amp.-strzyk. rozp. + 1 łącznik
100001901,05909990781515,Rp,1 butelka 75 ml
100001901,05909990781539,Rp,1 butelka 200 ml
100001901,05909990781522,Rp,1 butelka 125 ml
100002042,05909990211913,Rp,30 tabl.
100002059,05909990040919,OTC,1 op. 8 g
100002059,05909990625796,OTC,30 op. 8 g
100002131,05909991029609,Rp,10 fiol. 200 mg
100002148,05909990672516,OTC,30 tabl.
100002148,05909990672523,OTC,60 tabl.
100002148,05900257101237,OTC,90 szt.
100002148,05900257101244,OTC,120 szt.
100002154,05909990331512,OTC,20 sasz. 3 g
100002160,05909990331215,OTC,20 tabl.
100002208,05909990691012,OTC,10 tabl.
100002208,05909990691029,Rp,20 tabl.
100002220,05909990666515,Rp,30 tabl.
100002243,05909990055715,Rp,60 tabl.
100002250,05909990140213,OTC,6 tabl.
100002250,05909990140220,OTC,20 tabl.
100002250,05909990140237,OTC,20 tabl.
100002272,05909990255917,OTC,20 tabl.
100002272,05909991262266,OTC,20 tabl.
100002289,05909990244218,OTC,1 op. 8 g
100002295,05909990032518,OTC,60 tabl.
100002295,05909991190507,OTC,63 tabl.
100002310,05909990032716,OTC,60 tabl.
100002310,05909990032723,OTC,200 tabl.
100002310,05909991190484,OTC,200 tabl.
100002310,05909991190491,OTC,63 tabl.
100002409,05909990109210,Rp,30 tabl.
100002415,05909990109319,Rp,30 tabl.
100002444,05909990667116,Rp,20 tabl.
100002444,05909990334971,Rp,60 tabl.
100002540,05909990031610,Rp,1 butelka 100 ml
100002540,05909990068197,Rp,1 butelka 100 ml
100002556,05909990031719,OTC,1 butelka 100 ml
100002556,05909990068180,OTC,1 butelka 100 ml
100002556,05909991297985,OTC,1 butelka 60 ml
100002579,05909990688418,Lz,1 fiol. 10 mg proszku ¦ 1 fiol. 10 ml rozp.
100002585,05909990031412,Lz,1 fiol. 20 mg proszku ¦ 1 fiol. 20 ml rozp.
100002591,05909990655311,Lz,1 butelka 100 ml
100002591,05909990655328,Lz,1 butelka 500 ml
100002616,05909990052929,Rp,1 butelka 100 ml
100002622,05909990024810,Lz,1 fiol. 50 mg proszku ¦ 1 fiol. 50 ml rozp.
100002792,05909990271818,Lz,20 amp. 10 ml
100002817,05909990271719,Lz,10 fiol. 20 ml
100002964,05909990688111,OTC,10 tabl.
100002964,05909990688128,OTC,20 tabl.
100002987,05909990374717,Lz,6 fiol. 2 ml
100003047,05909990006519,OTC,1 op. 50 g
100003047,05909990006526,OTC,1 butelka 100 g
100003113,05909990202119,OTC,30 tabl.
100003113,05909990335558,OTC,90 tabl.
100003120,05909990126019,OTC,1 op. 40 g
100003120,05909990126026,OTC,1 op. 100 g
100003142,05909990028115,OTC,1 tuba 30 g
100003165,05909990210619,Rp,1 poj. 70 g
100003188,05909990656318,Rp,10 amp. 2 ml
100003248,05909990234714,Rp,60 tabl.
100003389,05909990371617,Rp,5 amp. 1 ml
100003395,05909990193219,Rp,50 tabl.
100003410,05909990212019,Rp,1 op. 25 g
100003426,05909990212118,Rp,1 butelka 25 ml
100003426,05909990212125,Rp,1 butelka 50 ml
100003432,05909990664511,OTC,1 op. 50 g
100003432,05909990664528,OTC,1 op. 20 g
100003449,05909990664610,OTC,1 op. 50 g
100003478,05909990285228,OTC,1 op. 20 g w tubie
100003478,05909990285211,OTC,1 op. 20 g w pudełku
100003478,05909990285235,OTC,1 tuba 30 g
100003490,05909990035014,OTC,1 op. 35 g
100003490,05908235491172,OTC,1 op. 100 g
100003509,05909990035113,OTC,1 op. 30 g
100003509,05908235491165,OTC,1 op. 100 g
100003515,05909990203741,OTC,1 op. 500 g
100003515,05909990203734,OTC,1 op. 30 g w pojemniku
100003515,05909990203727,OTC,1 op. 30 g w słoiku
100003515,05909990203710,OTC,1 op. 30 g w tubie
100003640,05909990349111,Rp,1 butelka 15 ml
100003656,05909990200924,OTC,1 op. 1000 g
100003656,05909990200917,OTC,1 butelka 125 g
100003679,05909990096114,Rp,10 amp. 10 ml
100003679,04260056112638,Rp,10 amp. 10 ml
100003751,05909990664016,Lz,10 fiol. 5 ml
100003751,05909990664023,Rp,10 amp. 5 ml
100003751,05909990640188,Lz,1 fiol. 5 ml
100003774,05909990181216,Lz,1 fiol. 10 ml
100003774,05909990181223,Lz,1 fiol. 20 ml
100003774,05909990624935,Lz,1 fiol. 40 ml
100003923,05909990192717,OTC,2 tabl.
100003923,05909990192724,OTC,10 tabl.
100003923,05909990192748,OTC,6 tabl.
100003923,05909990192731,OTC,40 tabl.
100003930,05909990283514,Rp,25 tabl.
100003952,05909990084333,Rpz,1 fiol. 15 ml
100003975,05909990001323,Rp,1 fiol. 3 ml (stężenie B) do leczenia podtrzymującego + 10 igieł + 10 strzykawek
100003975,05909990001316,Rp,2 fiol. 3 ml (stężenie A i B) do leczenia początkowego + 10 igieł + 10 strzykawek
100003998,05909990062119,Rp,1 zestaw  ¦ 1 butelka 3 ml z roztworem kontrolnym dodatnim ¦ 1 butelka 3 ml z wyciągami alergenowymi ¦ 1 butelka 3 ml z roztworem kontrolnym ujemnym
100004006,05909990006212,OTC,30 tabl.
100004006,05909990006229,OTC,30 tabl.
100004124,05909990109418,Rp,50 tabl.
100004160,05909990296811,Rp,100 kaps. w pojemniku
100004160,05909990296828,Rp,100 kaps.
100004176,05909990296910,Rp,100 kaps. w pojemniku
100004176,05909990296927,Rp,100 kaps.
100004182,05909990280216,Rp,1 butelka 100 ml
100004199,05909990299119,Rp,1 butelka 100 ml
100004236,05909990270118,OTC,1 tuba 30 g
100004259,05909990052110,OTC,6 tabl.
100004319,05909990292028,OTC,40 tabl.
100004319,05909990292011,OTC,20 tabl.
100004319,05909990292035,OTC,20 tabl.
100004319,05909990292042,OTC,40 tabl.
100004319,05909991202675,OTC,60 tabl.
100004319,05902020314707,OTC,10 szt. (1 x 10)
100004331,05909990257911,OTC,1 butelka 250 ml
100004443,05909990222117,Rp,20 tabl.
100004443,05909990222124,Rp,50 tabl.
100004443,05909990657476,Rp,20 tabl.
100004443,05909990657483,Rp,50 tabl.
100004443,05021691005193,Rp,20 tabl.
100004443,05021691005124,Rp,50 tabl.
100004590,05909990367320,Rp,1 op. 300 ml
100004590,05909990367313,OTC,1 op. 150 ml
100004590,05711313006294,OTC,1 op. 150 ml
100004609,05909990345410,OTC,1 butelka 120 ml
100004609,05909990086603,OTC,1 butelka 200 ml
100004791,05909990261826,Lz,1 butelka 1000 ml
100004791,05909990261819,Lz,1 butelka 500 ml
100004816,05909990261925,Lz,1 butelka 1000 ml
100004816,05909990261918,Lz,1 butelka 500 ml
100004822,05909990261727,Lz,1 butelka 500 ml
100004822,05909990261710,Lz,1 butelka 250 ml
100004957,05909990308217,Lz,1 butelka 500 ml
100005069,05909990226719,Lz,1 butelka 500 ml
100005112,05909990043927,Rp,50 tabl. w fiolce
100005112,05909990043910,Rp,50 tabl.
100005170,05909991033460,OTC,12 kaps.
100005193,05909997215945,Rp,28 tabl.
100005193,05909997215952,Rp,30 tabl.
100005193,05909997215969,Rp,60 tabl.
100005201,05909990352920,Rp,10 fiol. 1200 mg
100005201,05909990352913,Rp,5 fiol. 1200 mg
100005201,05909991536640,Rp,1 fiol. 1200 mg
100005224,05909990081912,Rp,14 tabl.
100005224,05907626708899,Rp,21 tabl.
100005276,05909990006410,OTC,1 butelka 100 ml
100005276,05909990006427,OTC,1 butelka 150 ml
100005276,05909990006434,OTC,1 butelka 250 ml
100005307,05909990691517,Rp,16 kaps.
100005307,05909991089108,Rp,20 kaps.
100005313,05909990691319,Rp,16 tabl.
100005313,05909991089153,Rp,20 tabl.
100005448,05909990343010,Rp,1 fiol. 500 mg proszku
100005448,05909990343027,Rp,20 fiol.  proszku
100005460,05909990343119,Rp,1 fiol. 1 g proszku
100005460,05909990343126,Rp,10 fiol.  proszku
100005477,05909990375417,Rp,10 fiol.  proszku
100005477,05909990211999,Rp,1 fiol. 2 g proszku
100005632,05909990294916,Rp,30 tabl.
100005649,05909990295012,Rp,30 tabl.
100005655,05909990295111,Rp,20 tabl.
100005744,05909990132119,Rp,20 tabl. w pojemniku
100005744,05909990132126,Rp,20 tabl. w blistrze
100005744,05909990132133,Rp,40 tabl. w pojemniku
100005744,05909990132140,Rp,40 tabl. w fiolce
100005744,05909990615438,Rp,20 tabl. w blistrach
100005744,05909990615445,Rp,40 tabl. w blistrach
100005744,05909990948536,Rp,60 tabl.
100005750,05909990132218,Rp,20 tabl. w blistrze
100005750,05909990132225,Rp,20 tabl. w pojemniku
100005750,05909990132232,Rp,20 tabl. w fiolce
100005750,05909990624515,Rp,20 tabl. w blistrach
100005750,05909990948543,Rp,60 tabl.
100005804,05909990003518,Rp,"3 amp. 0,5 ml"
100005833,05909990335718,Lz,5 butelek 250 ml
100005945,05909990658213,OTC,12 tabl. (2 x 6)
100005945,05909990658220,OTC,24 tabl. (4 x 6)
100005945,05909990658237,OTC,36 tabl. (6 x 6)
100005945,05909990658244,OTC,48 tabl. (4 x 12)
100005945,05909990658251,OTC,96 tabl.
100005945,05909990658268,OTC,12 tabl.
100005945,05909990625659,OTC,12 tabl. (1 x 12)
100005945,05909990625673,OTC,36 tabl. (3 x 12)
100005945,05909990625666,OTC,24 tabl. (2 x 12)
100005945,05908229303788,OTC,60 tabl.
100006005,05909990244119,Rp,30 tabl.
100006005,05909990218639,Rp,30 tabl.
100006028,05909990126118,OTC,1 butelka 50 ml
100006092,05909990302413,Lz,1 fiol.  proszku ¦ 1 fiol. 10 ml rozp. ¦ 1 zestaw  do sporządzania i podania roztworu
100006198,05909990039364,Rp,"30 amp.-strzyk. 0,3 ml"
100006198,05909990039289,Rp,"2 amp.-strzyk. 0,2 ml"
100006198,05909990039296,Rp,"10 amp.-strzyk. 0,2 ml"
100006198,05909990039302,Rp,"30 amp.-strzyk. 0,2 ml"
100006198,05909990039333,Rp,"100 amp.-strzyk. 0,2 ml"
100006198,05909990039340,Rp,"2 amp.-strzyk. 0,3 ml"
100006198,05909990039357,Rp,"10 amp.-strzyk. 0,3 ml"
100006198,05909990039371,Rp,"100 amp.-strzyk. 0,3 ml"
100006198,05909990039388,Rp,"2 amp.-strzyk. 0,4 ml"
100006198,05909990039395,Rp,"10 amp.-strzyk. 0,4 ml"
100006198,05909990039401,Rp,"30 amp.-strzyk. 0,4 ml"
100006198,05909990039463,Rp,"100 amp.-strzyk. 0,4 ml"
100006347,05909990169412,OTC,1 op. 30 g
100006399,05909990477418,Lz,1 fiol. 5 ml
100006399,05909990477425,Lz,1 fiol. 15 ml
100006399,05909990477432,Lz,1 fiol. 45 ml
100006459,05909990159529,Rp,24 kaps. w fiolce
100006459,05909990159512,Rp,24 kaps.
100006494,05909990296026,OTC,6 tabl.
100006494,05909990296033,OTC,12 tabl.
100006494,05909990296040,OTC,24 tabl.
100006494,05909990296057,OTC,50 tabl.
100006494,05909990296064,OTC,200 tabl.
100006494,05909990296071,OTC,500 tabl.
100006494,05909990610082,OTC,8 tabl.
100006494,05909990610099,OTC,10 tabl.
100006494,05909990664559,OTC,100 tabl.
100006494,05909990296019,OTC,2 tabl. w saszetce
100006494,05909990764235,OTC,4 tabl.
100006494,05907377139348,OTC,2 tabl. w blistrze
100006494,05903031286694,OTC,60 tabl.
100006525,05909990271412,OTC,1 butelka 10 g
100006583,05909990259021,OTC,1 butelka 20 g
100006583,05909990259014,OTC,1 butelka 10 g
100006637,05909990269815,OTC,1 butelka 10 g
100006672,05909990223817,OTC,1 op. 10 g
100006672,05909990223824,OTC,1 op. 100 g
100006689,05909990159826,OTC,1 op. 10 g w butelce
100006689,05909990159840,OTC,1 op. 15 g w butelce
100006689,05909990159857,OTC,1 op. 30 g w pojemniku
100006689,05909990159864,OTC,1 op. 30 g w butelce
100006689,05909990159819,OTC,1 op. 10 g w pojemniku
100006689,05909990159833,OTC,1 op. 15 g w pojemniku
100006761,05909990049912,OTC,1 butelka 120 ml
100007269,05909990248216,Rp,50 amp. 5 ml
100007269,05909990248230,Rp,100 amp. 5 ml
100007269,05909990248223,Rp,50 amp. 10 ml
100007269,05909990248247,Rp,100 amp. 10 ml
100007341,05909990116713,Lz,25 fiol.  proszku + 25 amp. rozp.
100007358,05909990061914,Rp,30 tabl. w fiolce
100007358,05909991139582,Rp,30 tabl. w blistrze
100007418,05909990664856,OTC,1 butelka 18 ml
100007418,05909990664818,OTC,1 op. 40 ml
100007418,05909990664825,OTC,1 op. 65 ml
100007418,05909990664832,OTC,1 butelka 100 ml
100007418,05909990615551,OTC,1 butelka 75 ml
100007418,05909990615568,OTC,1 butelka 200 ml
100007418,05909990615544,OTC,1 butelka 50 ml
100007418,05909990664849,OTC,1 butelka 8 ml
100007430,05909990237326,Rp,1 poj. 400 g
100007430,05909990237319,Rp,1 tuba 40 g
100007430,05904398500010,Rp,1 tuba 100 g
100007476,05909990261512,OTC,1 butelka 100 ml
100007476,05909990829439,OTC,1 butelka 150 ml
100007476,05909990829446,OTC,1 butelka 250 ml
100007602,05909990007318,OTC,1 butelka 100 ml
100007660,05909990325313,OTC,50 tabl.
100007714,05909990262915,OTC,50 tabl.
100007720,05909990263011,OTC,50 tabl.
100007743,05909990210718,OTC,50 tabl.
100007743,05909990212347,OTC,25 tabl.
100007743,05909990212354,OTC,75 tabl.
100007743,05909990210725,OTC,25 tabl.
100007750,05909990926725,Rp,28 tabl.
100007750,05909991268275,Rp,28 tabl.
100007803,05909990011612,OTC,50 tabl. w blistrach
100007803,05909990011629,OTC,50 tabl.
100007803,05909990011636,OTC,100 tabl.
100007832,05909990192618,OTC,10 tabl.
100007832,05909990192625,OTC,20 tabl.
100007832,05909990192632,OTC,100 tabl.
100007849,05909990192816,OTC,10 tabl.
100007849,05909990192823,OTC,20 tabl.
100007849,05908229303566,OTC,40 tabl.
100007855,05909990684120,OTC,60 tabl.
100007855,05909990684137,OTC,90 tabl.
100007855,05909990684144,OTC,50 tabl.
100007855,05909990684113,OTC,30 tabl.
100007855,05909990700363,OTC,28 tabl.
100007855,05908229303481,OTC,56 tabl.
100007855,05908229303498,OTC,98 tabl.
100007980,05909990250011,Lz,1 poj. 100 ml
100007980,05909990250028,Lz,1 poj. 250 ml
100007980,05909990250035,Lz,1 poj. 500 ml
100007980,05909990250042,Rp,1 poj. 100 ml (z kapslem)
100007980,05909990250059,Rp,1 poj. 250 ml (z kapslem)
100007980,05909990250066,Rp,1 poj. 500 ml (z kapslem)
100007980,05909990033485,Rp,1 poj. 1000 ml
100007980,05909991454128,Rp,10 poj. 1000 ml
100007980,05909991454135,Rp,20 poj. 250 ml
100007980,05909991454142,Rp,20 poj. 500 ml
100007980,05909991454159,Rp,40 poj. 100 ml
100008027,05909990294015,Rp,25 tabl.
100008033,05909990294114,Rp,25 tabl.
100008040,05909990124718,Rp,1 tuba 5 ml
100008100,05909990370610,Rp,60 tabl.
100008180,05909990243112,Rp,1 butelka 5 ml
100008205,05909990322114,Rp,1 butelka 20 ml
100008292,05909990064113,Rp,21 tabl.
100008292,05909990064120,Rp,21 tabl. (3 x 7)
100008300,05909990368211,Rp,14 tabl. w blistrze
100008300,05909990368228,Rp,21 tabl. w blistrze
100008300,05909990368235,Rp,14 tabl. (2 x 7)
100008300,05909990368242,Rp,21 tabl. (3 x 7)
100008300,05909991093846,Rp,4 tabl.
100008300,05909991093853,Rp,10 tabl.
100008300,05909991093860,Rp,12 tabl.
100008300,05909991093877,Rp,16 tabl.
100008300,05909991093884,Rp,20 tabl.
100008300,05909991093891,Rp,24 tabl.
100008300,05909991093907,Rp,100 tabl.
100008300,05909991093938,Rp,500 tabl.
100008300,05909991094461,Rp,30 tabl.
100008300,05901549673005,Rp,20 tabl.
100008323,05909990094813,Rp,30 tabl.
100008323,05909990094820,Rp,100 tabl.
100008369,05909990324712,OTC,5 tabl.
100008369,05909990324729,OTC,3 tabl.
100008369,05908289660180,OTC,10 tabl.
100008487,05909990270910,OTC,10 tabl.
100008487,05906014010217,OTC,20 tabl.
100008553,05909990007516,OTC,1 butelka 100 g
100008560,05909990216444,OTC,1 fl. 30 g
100008560,05909990216420,OTC,1 fl. 50 g
100008560,05909990216437,OTC,1 fl. 100 g
100008560,05909990216413,OTC,1 fl. 40 g
100008560,05909990216451,OTC,1 butelka 50 ml
100008560,05909990216468,OTC,1 butelka 100 ml
100008582,05909990007912,OTC,1 butelka 30 g
100008582,05909990007936,OTC,1 butelka 100 g
100008582,05909990007929,OTC,1 butelka 90 g
100008642,05909990033812,Rp,50 tabl.
100008642,05909991423315,Rp,100 tabl.
100008671,05909990312610,Rp,1 butelka 100 ml
100008688,05909990276219,Rp,20 tabl.
100008694,05909990312719,Rp,10 tabl.
100008702,05909990071418,Rp,1 op. 15 g
100008719,05909990362318,Rp,1 op. 3 g
100008760,05909990354511,OTC,1 op. 300 g
100008837,05909990363339,OTC,1 tuba 50 g
100008837,05909990363315,OTC,1 tuba 10 g
100008837,05909990363322,OTC,1 tuba 30 g
100008889,05909990276516,Lz,1 op. 200 ml
100008889,05909990044955,Lz,1 butelka 200 ml
100008889,05909990044948,Lz,1 butelka 200 ml
100008978,05909990675012,Rp,1 butelka 250 ml
100009156,05909990263110,Rp,20 tabl.
100009162,05909990336418,Rp,30 tabl.
100009274,05909990161614,OTC,1 op. 35 g
100009274,05909990760497,OTC,1 tuba 50 g
100009334,05909990168514,Rp,20 tabl.
100009334,05909990168538,Rp,30 tabl.
100009334,05909990168521,Rp,100 tabl.
100009417,05909990232314,OTC,1 op. 30 g
100009417,05909991553029,OTC,20 g
100009423,05909990232215,OTC,1 op. 30 g
100009535,05909990816200,Rp,28 kaps.
100009558,05909990683727,OTC,1 op. 30 g
100009558,05909990683710,OTC,"1 op. 3,5 g"
100009558,05909990683734,OTC,1 op. 100 g
100009660,05909990101917,Rp,1 butelka 20 ml
100009713,05909990376414,Rp,1 poj. 10 ml (200 dawek)
100009759,05909990357819,OTC,50 tabl.
100009759,05909990357826,OTC,100 tabl.
100009802,05909990686216,Rp,14 szt.
100009802,05995327184715,OTC,7 szt.
100009819,05909990647415,OTC,1 op. 20 g
100009854,05909990361915,OTC,1 butelka 30 ml
100009854,05909990361939,OTC,1 butelka 1000 ml
100009854,05909990361922,OTC,1 butelka 120 ml
100009883,05909990181810,OTC,1 fl. 10 ml
100009890,05909990181919,Rp,1 fl. 5 ml
100009890,05909990181926,Rp,2 butelki 5 ml
100009914,05909990233519,Rp,5 amp. 5 ml
100010001,05909990186617,Rp,1 butelka 5 ml
100010018,05909990186518,Rp,1 butelka 5 ml
100010018,05909990186525,Rp,1 butelka 10 ml
100010142,05909990007127,OTC,60 kaps.
100010142,05909990213368,OTC,90 kaps.
100010142,05909990007110,OTC,20 kaps.
100010320,05909990046713,OTC,1 fl. 80 g
100010320,05909990046720,OTC,1 fl. 150 g
100010320,05909990046737,OTC,1 butelka 100 ml
100010320,05909990569267,OTC,1 butelka 200 ml
100010337,05909990100415,Rp,40 tabl.
100010337,05909990100422,Rp,50 tabl.
100010350,05909990061419,Lz,1 fiol. 2 ml
100010350,05909990929696,Lz,1 amp. 2 ml
100010366,05909990061310,Lz,1 fiol. 2 ml
100010366,05909990061327,Lz,1 fiol. 4 ml
100010366,05909990929702,Lz,1 amp. 2 ml
100010366,05909990929726,Lz,1 amp. 4 ml
100010403,05909990059515,Rp,"1 fiol. 1,5 g proszku"
100010403,05903060623620,Rp,"10 fiol. 1,5 g proszku"
100010550,05909990360512,Rp,10 tabl. w pojemniku
100010550,05909990360529,Rp,14 tabl. w pojemniku
100010550,05909990063727,Rp,10 tabl. w blistrach
100010550,05909990063734,Rp,14 tabl. w blistrach
100010567,05909990360611,Rp,10 tabl. w pojemniku
100010567,05909990360628,Rp,14 tabl. w pojemniku
100010567,05909990063840,Rp,10 tabl. w blistrach
100010567,05909990063857,Rp,14 tabl. w blistrach
100010573,05909990360710,Rp,10 tabl. w pojemniku
100010573,05909990360727,Rp,14 tabl. w pojemniku
100010573,05909990063697,Rp,10 tabl. w blistrze
100010573,05909990063703,Rp,14 tabl. w blistrze
100010596,05909990365715,Rp,60 tabl.
100010604,05909990365616,Rp,30 tabl.
100010627,05909990008117,OTC,10 amp. 1 ml
100010633,05909990059317,Lz,1 fiol.  proszku
100010633,05903060623668,Lz,10 fiol.  proszku
100010640,05909990079612,Rp,1 fiol. 1 g proszku
100010640,05903060623569,Rp,10 fiol. 1 g proszku
100010656,05909990360918,Lz,1 fiol.  proszku
100010656,05903060623651,Lz,10 fiol.
100010662,05909990059218,Lz,1 fiol.  proszku
100010662,05903060623637,Lz,10 fiol.
100010768,05909990372317,Rp,30 tabl.
100010768,05909990372324,Rp,100 tabl.
100010797,05909990166619,OTC,30 tabl.
100010805,05909990073917,Lz,1 amp. 20 ml
100010805,05909990073924,Lz,1 fiol. 50 ml
100010805,05909990073931,Lz,1 fiol. 250 ml
100010805,05909990073948,Lz,1 fiol. 500 ml
100010805,04036124003449,Lz,1 fiol. 250 ml
100010805,04036124003302,Lz,1 fiol. 50 ml
100010805,04036124003173,Lz,1 amp. 20 ml
